"q36_salud","genero_agrup","n","cantidad","porcentaje_sin_pond","porcentaje_pond"
"","Mujer",15,19.809291046,68.1818181818182,74.9292957058073
"","Prefiero no responder",1,1,4.54545454545455,3.78253293022001
"","Varón",6,5.628020101,27.2727272727273,21.2881713639726
"Ninguna","Mujer",1306,975.872415486,65.529352734571,48.6521352200438
"Ninguna","Otro género",25,25,1.25439036628199,1.246375408506
"Ninguna","Prefiero no responder",6,6,0.301053687907677,0.299130098041439
"Ninguna","Varón",656,998.943796017,32.9152032112393,49.8023592734087
"No sé","Mujer",91,69.7565214,60.6666666666667,47.3165060051208
"No sé","Otro género",2,2,1.33333333333333,1.35661885241659
"No sé","Prefiero no responder",1,1,0.666666666666667,0.678309426208297
"No sé","Varón",56,74.668821867,37.3333333333333,50.6485657162543
"Obra social (incluye PAMI)","Mujer",782,701.753561119,66.271186440678,52.6722472358164
"Obra social (incluye PAMI)","Otro género",17,17,1.44067796610169,1.27598668908933
"Obra social (incluye PAMI)","Prefiero no responder",3,3,0.254237288135593,0.225174121603999
"Obra social (incluye PAMI)","Varón",378,610.548738377,32.0338983050847,45.8265919534903
"Prepaga o seguro privado","Mujer",547,321.501796969,64.9643705463183,47.8856010527502
"Prepaga o seguro privado","Otro género",9,9,1.06888361045131,1.3404914483769
"Prepaga o seguro privado","Prefiero no responder",4,4,0.475059382422803,0.595773977056401
"Prepaga o seguro privado","Varón",282,336.893758064,33.4916864608076,50.1781335218165
"Programa o plan estatal de salud","Mujer",362,291.758449588,73.5772357723577,58.8615641216963
"Programa o plan estatal de salud","Otro género",7,7,1.42276422764228,1.41223313132392
"Programa o plan estatal de salud","Varón",123,196.910420143,25,39.7262027469798
